aiai,爱爱
zhuguang,烛光
zhuji,主机
zhumi,煮米
zhuren,主人
zhusun,竹笋
zhutou,猪头
zhuye,主页
zhuzhai,住宅
zibu,滋补
zidian,字典
zidiao,紫貂
zigong,子宫
zihua,字画
zijin,资金
zimu,字幕
zisha,紫砂
zixun,咨询;资讯
ziyou,自由
zongbu,总部
zongxiong,棕熊
zongzi,粽子
zoushi,走势
zuanshi,钻石
zucai,足彩
zudian,租店
zufang,租房
zuguo,祖国
zuiai,最爱
zuihao,最好
zuijia,最佳
zujie,租借
zulou,租楼
zuobiao,坐标
zuowen,作文
zupu,族谱
zuqiu,足球
zushou,租售
zusun,祖孙
zhudian,住店 
difang,地方 
bianli,便利 
xueyuan,学院 
daotian,稻田 
tiwen,提问 
yongjin,佣金
erhu,二胡                
lutu,路途
tianya,天涯
bocai,博彩
haima,海马
texiao,特效
qiyu,奇遇
yaoguo,腰果
lenggong,冷宫
suanpan,算盘
chatu,插图
gaozi,稿子
baokan,报刊
daili,代理
paozi,袍子
fanguan,饭馆
jingli,经理
yinger,婴儿
guangpu,光谱
licai,理财
maiche,买车
jinmao,金贸
fensi,粉丝
chengxin,诚信
beihai,北海
nanhai,南海
siyuan,思源
donghua,动画
dongman,动漫
manhua,漫画
qidi,启迪
baiLu,白鹭
junyue,君悦
Liansai,联赛
koucai,口才
huangpu,黄埔
yipin,一品  
gongzhu,公主
mogu,蘑菇
yunzhong,云中
haigang,海港
feima,飞马
hupan,湖畔 
haixian,海鲜
baige,白鸽
fenghuang,凤凰
Lunyi,轮椅
hema,河马
xigua,西瓜
pingguo,苹果
tumo,屠魔
pindan,拼单
tuimi,推米
cidu,瓷都
caizhu,财主
fangche,房车
qingniao,青鸟
changji,昌吉
jiangcheng,江城
qingning,青柠
lanhua,兰花
youpiao,邮票
shangbiao,商标
yujia,瑜伽
caishen,财神
muxing,木星
huoxing,火星
tuxing,土星
taiyang,太阳
daotian,稻田 
difang,地方 
tiwen,提问 
zhudian,住店 
bianli,便利 
pachong,爬虫 
shujia,书架 
hebi,鹤壁 
zhuti,主题 
taikong,太空
yueye,越野
bichu,壁橱
wenjing,文静
tianhai,天海
yingsu,罂粟
tianqin,天琴
taoke,淘客
chuzu,出租
fuzhuang,服装
pifa,批发
haixian,海鲜
tongji,统计
taoke,淘客
chuzu,出租
fuzhuang,服装
pifa,批发
haixian,海鲜
haita,海獭
shangtuan,商团
feiwu,飞舞
fengjing,风景
jiaoxue,教学
qiuyin,蚯蚓
shangtou,商投
yuanjian,远见
yuecai,粤菜
hetun,河豚
heliu,河流
xingji,星际
milian,迷恋
lucai,卤菜;鲁菜
chuancai,川菜
xueyuan,学院
chihuo,吃货
yehe,野鹤 
meipai,美拍 
huati,话题 
daoli,道理 
wangzhai,网摘 
fangnu,房奴   
longdu,龙都 
yuedui,乐队  
weibing,胃病 
zhanhun,战魂 
yunwei,运维
mangshe,蟒蛇
heshang,和尚
paiming,排名
konglong,恐龙
chihuo,吃货
tuhao,土豪
shijue,视觉
qiusai,球赛
bangfu,帮富
zhitong,直通
meishu,美术
chuanqi,传奇 
lingshi,零食
huangjin,黄金
chehang,车行
fengche,风车
cheshi,车市
yuelai,悦来
shukong,数控
yeshi,夜市
zhishi,知识
xiake,侠客
fengling,风铃
yezi,椰子
jianghu,江湖
zhaobiao,招标
youxi,游戏
taiyi,太医
fengxiong,丰胸
tiexue,铁血
qinqin,亲亲
xici,西祠  
hainan,海南  
duba,独霸
yunluo,云罗
ganhuo,干货
diantai,电台
qixian,七仙;杞县;祁县;奇险
buluo,部落
hanghai,航海
lading,拉丁








